Rank,Title,Hit_
32,阿里发布淘宝神人
33,热依扎重度抑郁症
34,杨紫名誉权案胜诉
35,杭州地面坍塌
36,太空盗窃银行账户
37,董明珠雷军新赌约
38,吴亦凡恋情疑曝光
39,黄果树游客遇难
40,地表最快女车手身亡
41,香港的士挂国旗
42,首届清华智班名单
43,宁夏两私家车相撞
44,周立波豪宅曝光
45,迪士尼股价暴跌
46,说实话遭索赔46万
47,黑寡妇新海报
48,港警鸣枪示警
49,共和国勋章人选
50,宋仲基离婚后近照
Rank,Title,Hit_
1,工行日赚9.3亿
2,地表最快女车手身亡
3,苹果发布会时间
4,军训服蹲下就崩线
5,黄之锋被捕
6,乱港分子周庭被捕
7,世界人工智能大会
8,多名乱港分子被捕
9,北大录取通知书
10,天价宿舍内部曝光
11,广汽回应气囊伤人
12,新版标准地图上线
13,国庆70周年阅兵
14,保姆殴打两岁男童
15,香港警员参加庆典
16,快递员持刀砍客户
17,北海道6.1级地震
18,深圳一大厦晃动
19,肯德基人造肉炸鸡
20,泰王室新王妃私照
21,中秋节
22,宁夏两私家车相撞
23,海南突发龙卷风
24,杭州地面坍塌原因
25,逼迫9名学生交往
26,朴槿惠案终审宣判
27,法拉第未来回应
28,共和国勋章人选
29,地球快没沙子了
30,深圳楼房倒塌
31,郑州工地塔吊倒塌
32,垃圾分类
33,美国阿肯色州枪击
34,梁铉锡被禁止出国
35,人民币汇率
36,数字人民币初露真容
37,台风路径实时发布系统
38,window10
39,苹果捐款修复雨林
40,15岁少年逆行身亡
41,杭州地面坍塌
42,第五套人民币
43,人民币兑美元
44,浙江货车隧道起火
45,社保
46,中国银行外汇牌价
47,乐蜂网停止运营
48,亚马逊雨林大火
49,说实话遭索赔46万
50,台风白鹿即将登陆
Rank,Title,Hit_
1,中国新说唱
2,吴亦凡女友身份
3,李小璐给甜馨改名
4,吴亦凡恋情疑曝光
5,王嘉尔疑质问私生
6,黄晓明baby疑离婚
7,邓超发孙俪黑照
8,陈妍希探班陈晓
9,杨紫总裁造型
10,李秉光导演去世
11,李小璐朋友圈发文
12,王祖蓝女儿近照
13,马丽疑似怀孕
14,魔兽世界怀旧服
15,吴秀波方否认复出
16,泰王室新王妃私照
17,周立波豪宅曝光
18,倪妮感谢张艺谋
19,张艺兴妈妈发文
20,林更新主动破梗
21,黄毅清被提请批捕
22,张予曦承认分手
23,蜘蛛侠退出漫威
24,康男李相花结婚
25,梁铉锡被禁止出国
26,中国新说唱冠军
27,肖战被私生饭摸手
28,麦迪娜回应撞名
29,威尼斯电影节开幕
30,徐峥朋友圈表白
31,范冰冰分手内幕
32,易烊千玺参加军训
33,热依扎重度抑郁症
34,王源肖战是邻居
35,私生饭
36,哪吒被指涉抄袭
37,肖战粉丝强行卡门
38,滕华涛称用错鹿晗
39,温碧霞与养子合照
40,孙骁骁方否认欺凌
41,唐嫣为刘亦菲庆生
42,生化危机2重制版
43,荷兰弟取关迪士尼
44,何超盈产女
45,萧亚轩方回应恋情
46,王一博开挖掘机
47,密室大逃脱
48,吴亦凡被激光照射
49,中国好声音直播
50,蔡依林版朱碧石
Rank,Title,Hit_
1,恩里克女儿去世
2,武磊替补登场
3,欧冠小组抽签揭晓
4,帕楚里亚退役
5,欧冠32强出炉
6,篮球世界杯
7,内马尔接近巴萨
8,林书豪加盟首钢
9,欧冠
10,男篮世界杯赛程
11,周鹏无缘世界杯
12,欧冠抽签
13,西甲
14,西班牙人
15,英超
16,欧联杯
17,中国男篮
18,金球奖
19,国羽3项全军覆没
20,中国女排无缘决赛
21,郭艾伦垫脚
22,哈尔滨马拉松
23,欧冠分组
24,美国男篮名单
25,中超
26,库兹马退出美国队
27,意甲
28,奥尼尔
29,欧冠赛程
30,可兰白克
31,霍华德39号球衣
32,篮球公园
33,男篮世界杯直播
34,恒大vs鹿岛
35,冬奥会
36,王治郅
37,上海马拉松
38,欧联杯抽签
39,世界杯开幕式
40,世界足球先生
41,北京马拉松
42,塞维利亚
43,王仕鹏
44,中甲
45,uefa
46,巴勒斯坦
47,德甲
48,西安马拉松
49,波波维奇
50,马德里竞技
